,year,rank,player,team,points
0,1956,1st,Stanley Matthews,Blackpool,47
1,1956,2nd,Alfredo Di Stéfano,Real Madrid,44
2,1956,3rd,Raymond Kopa,Real Madrid,33
3,1957,1st,Alfredo Di Stéfano[note 1],Real Madrid,72
4,1957,2nd,Billy Wright,Wolverhampton Wanderers,19
5,1957,3rd,Duncan Edwards,Manchester United,16
6,1957,Raymond Kopa,Real Madrid,,
7,1958,1st,Raymond Kopa,Real Madrid,71
8,1958,2nd,Helmut Rahn,Rot-Weiss Essen,40
9,1958,3rd,Just Fontaine,Stade de Reims,23
10,1959,1st,Alfredo Di Stéfano,Real Madrid,80
11,1959,2nd,Raymond Kopa,Real Madrid,42
12,1959,3rd,John Charles,Juventus,24
13,1960,1st,Luis Suárez,Barcelona,54
14,1960,2nd,Ferenc Puskás,Real Madrid,37
15,1960,3rd,Uwe Seeler,Hamburg,33
16,1961,1st,Omar Sívori[note 2],Juventus,46
17,1961,2nd,Luis Suárez,Internazionale,40
18,1961,3rd,Johnny Haynes,Fulham,22
19,1962,1st,Josef Masopust,Dukla Prague,65
20,1962,2nd,Eusébio,Benfica,53
21,1962,3rd,Karl-Heinz Schnellinger,Köln,33
22,1963,1st,Lev Yashin,Dynamo Moscow,73
23,1963,2nd,Gianni Rivera,Milan,53
24,1963,3rd,Jimmy Greaves,Tottenham Hotspur,33
25,1964,1st,Denis Law,Manchester United,61
26,1964,2nd,Luis Suárez,Internazionale,43
27,1964,3rd,Amancio,Real Madrid,38
28,1965,1st,Eusébio,Benfica,67
29,1965,2nd,Giacinto Facchetti,Internazionale,59
30,1965,3rd,Luis Suárez,Internazionale,45
31,1966,1st,Bobby Charlton,Manchester United,81
32,1966,2nd,Eusébio,Benfica,80
33,1966,3rd,Franz Beckenbauer,Bayern Munich,59
34,1967,1st,Flórián Albert,Ferencváros,68
35,1967,2nd,Bobby Charlton,Manchester United,40
36,1967,3rd,Jimmy Johnstone,Celtic,39
37,1968,1st,George Best,Manchester United,61
38,1968,2nd,Bobby Charlton,Manchester United,53
39,1968,3rd,Dragan Džajić,Red Star Belgrade,46
40,1969,1st,Gianni Rivera,Milan,83
41,1969,2nd,Luigi Riva,Cagliari,79
42,1969,3rd,Gerd Müller,Bayern Munich,38
43,1970,1st,Gerd Müller,Bayern Munich,77
44,1970,2nd,Bobby Moore,West Ham United,70
45,1970,3rd,Luigi Riva,Cagliari,65
46,1971,1st,Johan Cruyff,Ajax,116
47,1971,2nd,Sandro Mazzola,Internazionale,57
48,1971,3rd,George Best,Manchester United,56
49,1972,1st,Franz Beckenbauer,Bayern Munich,81
50,1972,2nd,Gerd Müller,Bayern Munich,79
51,1972,Günter Netzer,Borussia Mönchengladbach,,
52,1973,1st,Johan Cruyff[note 3],Barcelona,96
53,1973,2nd,Dino Zoff,Juventus,47
54,1973,3rd,Gerd Müller,Bayern Munich,44
55,1974,1st,Johan Cruyff,Barcelona,116
56,1974,2nd,Franz Beckenbauer,Bayern Munich,105
57,1974,3rd,Kazimierz Deyna,Legia Warsaw,35
58,1975,1st,Oleg Blokhin,Dynamo Kyiv,122
59,1975,2nd,Franz Beckenbauer,Bayern Munich,42
60,1975,3rd,Johan Cruyff,Barcelona,27
61,1976,1st,Franz Beckenbauer,Bayern Munich,91
62,1976,2nd,Rob Rensenbrink,Anderlecht,75
63,1976,3rd,Ivo Viktor,Dukla Prague,52
64,1977,1st,Allan Simonsen,Borussia Mönchengladbach,74
65,1977,2nd,Kevin Keegan[note 4],Hamburg,71
66,1977,3rd,Michel Platini,Nancy,70
67,1978,1st,Kevin Keegan,Hamburg,87
68,1978,2nd,Hans Krankl,Barcelona,81
69,1978,3rd,Rob Rensenbrink,Anderlecht,50
70,1979,1st,Kevin Keegan,Hamburg,118
71,1979,2nd,Karl-Heinz Rummenigge,Bayern Munich,52
72,1979,3rd,Ruud Krol,Ajax,41
73,1980,1st,Karl-Heinz Rummenigge,Bayern Munich,122
74,1980,2nd,Bernd Schuster,Barcelona,34
75,1980,3rd,Michel Platini,Saint-Étienne,33
76,1981,1st,Karl-Heinz Rummenigge,Bayern Munich,106
77,1981,2nd,Paul Breitner,Bayern Munich,64
78,1981,3rd,Bernd Schuster,Barcelona,39
79,1982,1st,Paolo Rossi,Juventus,115
80,1982,2nd,Alain Giresse,Bordeaux,64
81,1982,3rd,Zbigniew Boniek,Juventus,39
82,1983,1st,Michel Platini,Juventus,110
83,1983,2nd,Kenny Dalglish,Liverpool,26
84,1983,3rd,Allan Simonsen,Vejle,25
85,1984,1st,Michel Platini,Juventus,110
86,1984,2nd,Jean Tigana,Bordeaux,57
87,1984,3rd,Preben Elkjær,Hellas Verona,48
88,1985,1st,Michel Platini,Juventus,127
89,1985,2nd,Preben Elkjær,Hellas Verona,71
90,1985,3rd,Bernd Schuster,Barcelona,46
91,1986,1st,Igor Belanov,Dynamo Kyiv,84
92,1986,2nd,Gary Lineker[note 5],Barcelona,62
93,1986,3rd,Emilio Butragueño,Real Madrid,59
94,1987,1st,Ruud Gullit[note 6],Milan,106
95,1987,2nd,Paulo Futre[note 7],Atlético Madrid,91
96,1987,3rd,Emilio Butragueño,Real Madrid,61
97,1988,1st,Marco van Basten,Milan,129
98,1988,2nd,Ruud Gullit,Milan,88
99,1988,3rd,Frank Rijkaard[note 8],Milan,45
100,1989,1st,Marco van Basten,Milan,129
101,1989,2nd,Franco Baresi,Milan,80
102,1989,3rd,Frank Rijkaard,Milan,43
103,1990,1st,Lothar Matthäus,Internazionale,137
104,1990,2nd,Salvatore Schillaci,Juventus,84
105,1990,3rd,Andreas Brehme,Internazionale,68
106,1991,1st,Jean-Pierre Papin,Marseille,141
107,1991,2nd,Dejan Savićević,Red Star Belgrade,42
108,1991,Darko Pančev,Red Star Belgrade,,
109,1991,Lothar Matthäus,Internazionale,,
110,1992,1st,Marco van Basten,Milan,98
111,1992,2nd,Hristo Stoichkov,Barcelona,80
112,1992,3rd,Dennis Bergkamp,Ajax,53
113,1993,1st,Roberto Baggio,Juventus,142
114,1993,2nd,Dennis Bergkamp,Internazionale,83
115,1993,3rd,Eric Cantona,Manchester United,34
116,1994,1st,Hristo Stoichkov,Barcelona,210
117,1994,2nd,Roberto Baggio,Juventus,136
118,1994,3rd,Paolo Maldini,Milan,109
119,1995,1st,George Weah[note 9],Milan,144
120,1995,2nd,Jürgen Klinsmann,Bayern Munich,108
121,1995,3rd,Jari Litmanen,Ajax,67
122,1996,1st,Matthias Sammer,Borussia Dortmund,144
123,1996,2nd,Ronaldo[note 10],Barcelona,143
124,1996,3rd,Alan Shearer,Newcastle United,107
125,1997,1st,Ronaldo[note 11],Internazionale,222
126,1997,2nd,Predrag Mijatović,Real Madrid,68
127,1997,3rd,Zinedine Zidane,Juventus,63
128,1998,1st,Zinedine Zidane,Juventus,244
129,1998,2nd,Davor Šuker,Real Madrid,68
130,1998,3rd,Ronaldo,Internazionale,66
131,1999,1st,Rivaldo,Barcelona,219
132,1999,2nd,David Beckham,Manchester United,154
133,1999,3rd,Andriy Shevchenko,Milan,64
134,2000,1st,Luís Figo[note 12],Real Madrid,197
135,2000,2nd,Zinedine Zidane,Juventus,181
136,2000,3rd,Andriy Shevchenko,Milan,85
137,2001,1st,Michael Owen,Liverpool,176
138,2001,2nd,Raúl,Real Madrid,140
139,2001,3rd,Oliver Kahn,Bayern Munich,114
140,2002,1st,Ronaldo[note 13],Real Madrid,169
141,2002,2nd,Roberto Carlos,Real Madrid,145
142,2002,3rd,Oliver Kahn,Bayern Munich,110
143,2003,1st,Pavel Nedvěd,Juventus,190
144,2003,2nd,Thierry Henry,Arsenal,128
145,2003,3rd,Paolo Maldini,Milan,123
146,2004,1st,Andriy Shevchenko,Milan,175
147,2004,2nd,Deco[note 14],Barcelona,139
148,2004,3rd,Ronaldinho,Barcelona,133
149,2005,1st,Ronaldinho,Barcelona,225
150,2005,2nd,Frank Lampard,Chelsea,148
151,2005,3rd,Steven Gerrard,Liverpool,142
152,2006,1st,Fabio Cannavaro[note 15],Real Madrid,173
153,2006,2nd,Gianluigi Buffon,Juventus,124
154,2006,3rd,Thierry Henry,Arsenal,121
155,2007,1st,Kaká,Milan,444
156,2007,2nd,Cristiano Ronaldo,Manchester United,277
157,2007,3rd,Lionel Messi,Barcelona,255
158,2008,1st,Cristiano Ronaldo,Manchester United,446
159,2008,2nd,Lionel Messi,Barcelona,281
160,2008,3rd,Fernando Torres,Liverpool,179
161,2009,1st,Lionel Messi,Barcelona,473
162,2009,2nd,Cristiano Ronaldo[note 16],Real Madrid,233
163,2009,3rd,Xavi,Barcelona,170
164,2010,1st,Lionel Messi,Barcelona,22.65%
165,2010,2nd,Andrés Iniesta,Barcelona,17.36%
166,2010,3rd,Xavi,Barcelona,16.48%
167,2011,1st,Lionel Messi,Barcelona,47.88%
168,2011,2nd,Cristiano Ronaldo,Real Madrid,21.60%
169,2011,3rd,Xavi,Barcelona,9.23%
170,2012,1st,Lionel Messi,Barcelona,41.60%
171,2012,2nd,Cristiano Ronaldo,Real Madrid,23.68%
172,2012,3rd,Andrés Iniesta,Barcelona,10.91%
173,2013,1st,Cristiano Ronaldo,Real Madrid,27.99%
174,2013,2nd,Lionel Messi,Barcelona,24.72%
175,2013,3rd,Franck Ribéry,Bayern Munich,23.36%
176,2014,1st,Cristiano Ronaldo,Real Madrid,37.66%
177,2014,2nd,Lionel Messi,Barcelona,15.76%
178,2014,3rd,Manuel Neuer,Bayern Munich,15.72%
179,2015,1st,Lionel Messi,Barcelona,41.33%
180,2015,2nd,Cristiano Ronaldo,Real Madrid,27.76%
181,2015,3rd,Neymar,Barcelona,7.86%
182,2016,1st,Cristiano Ronaldo,Real Madrid,745
183,2016,2nd,Lionel Messi,Barcelona,316
184,2016,3rd,Antoine Griezmann,Atlético Madrid,198
185,2017,1st,Cristiano Ronaldo,Real Madrid,946
186,2017,2nd,Lionel Messi,Barcelona,670
187,2017,3rd,Neymar[note 17],Paris Saint-Germain,361
188,2018,1st,Luka Modrić,Real Madrid,753
189,2018,2nd,Cristiano Ronaldo[note 18],Juventus,476
190,2018,3rd,Antoine Griezmann,Atlético Madrid,414
